fitur,importance
lag_1,0.84126955
kuartal,0.01524348
is_natal_tahunbaru,0.013719282
is_hari_hujan,0.009365254
bulan_cos,0.009219361
suhu_rata,0.008765171
rawit_lag_7,0.0084944125
volatilitas_14,0.008209074
roll_std_30,0.007866467
roll_hujan_30,0.007539263
is_libur_nasional,0.0074964855
roll_mean_30,0.0062093507
bulan_sin,0.006043087
is_awal_bulan,0.005961577
roll_std_7,0.0057799667
momentum_7,0.0057400097
lag_30,0.005623741
curah_hujan,0.0054985425
lag_7,0.005355493
rawit_lag_1,0.005150411
rasio_tren_7_30,0.004978977
is_musim_panen,0.0032687127
is_weekend,0.0032022742
is_lebaran,0.0
